iter	Passed	Remaining
0	2	204
1	3	180
2	5	162
3	6	147
4	8	158
5	10	169
6	12	164
7	13	160
8	15	159
9	17	158
10	19	157
11	21	155
12	23	159
13	26	163
14	28	160
15	30	157
16	32	157
17	34	156
18	36	153
19	37	151
20	39	149
21	41	147
22	43	145
23	44	142
24	46	140
25	48	138
26	50	137
27	52	134
28	53	132
29	55	130
30	57	127
31	58	125
32	60	123
33	62	121
34	64	119
35	66	119
36	68	116
37	70	115
38	72	113
39	74	112
40	76	109
41	77	106
42	79	104
43	80	102
44	82	100
45	83	98
46	85	96
47	86	93
48	88	91
49	89	89
50	91	87
51	93	85
52	95	84
53	97	82
54	99	81
55	101	79
56	103	78
57	105	76
58	106	74
59	108	72
60	111	71
61	114	69
62	115	67
63	117	65
64	119	64
65	120	62
66	122	60
67	124	58
68	125	56
69	127	54
70	129	52
71	130	50
72	132	49
73	134	47
74	135	45
75	137	43
76	138	41
77	140	39
78	141	37
79	143	35
80	145	34
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	155	23
87	156	21
88	158	19
89	159	17
90	161	15
91	162	14
92	164	12
93	166	10
94	167	8
95	169	7
96	170	5
97	172	3
98	174	1
99	176	0
