iter	Passed	Remaining
0	126	126555
1	130	64947
2	133	44487
3	137	34329
4	142	28285
5	145	24121
6	149	21222
7	153	19035
8	157	17329
9	161	15990
10	165	14873
11	169	13979
12	173	13180
13	177	12486
14	181	11904
15	185	11384
16	188	10923
17	192	10496
18	196	10133
19	199	9795
20	203	9505
21	207	9216
22	211	8967
23	215	8754
24	218	8532
25	222	8327
26	226	8150
27	230	7989
28	233	7823
29	237	7672
30	241	7549
31	245	7420
32	248	7290
33	252	7167
34	256	7066
35	260	6967
36	263	6862
37	267	6765
38	271	6682
39	274	6597
40	278	6513
41	282	6441
42	286	6377
43	290	6307
44	293	6234
45	297	6173
46	301	6108
47	304	6046
48	308	5995
49	312	5940
50	316	5889
51	320	5837
52	323	5789
53	327	5739
54	331	5692
55	335	5647
56	338	5602
57	342	5555
58	346	5521
59	349	5479
60	353	5441
61	357	5403
62	361	5370
63	364	5337
64	368	5307
65	372	5277
66	378	5264
67	382	5237
68	387	5233
69	392	5216
70	396	5192
71	401	5169
72	405	5155
73	410	5130
74	413	5101
75	417	5073
76	421	5053
77	425	5026
78	428	5000
79	432	4978
80	436	4952
81	440	4931
82	442	4887
83	446	4864
84	450	4850
85	453	4819
86	455	4784
87	458	4752
88	460	4717
89	463	4682
90	465	4645
91	466	4608
92	468	4569
93	469	4529
94	471	4491
95	472	4452
96	474	4414
97	476	4382
98	477	4348
99	479	4316
100	481	4283
101	482	4248
102	484	4215
103	485	4184
104	487	4153
105	488	4122
106	490	4091
107	491	4060
108	493	4032
109	494	4004
110	496	3975
111	497	3947
112	499	3919
113	500	3891
114	502	3864
115	503	3837
116	504	3810
117	506	3786
118	508	3763
119	509	3739
120	511	3717
121	512	3691
122	514	3666
123	515	3643
124	517	3620
125	518	3597
126	519	3573
127	521	3553
128	523	3533
129	524	3511
130	526	3489
131	527	3469
132	529	3449
133	530	3429
134	532	3409
135	533	3389
136	534	3369
137	536	3353
138	538	3335
139	540	3317
140	541	3299
141	542	3278
142	543	3260
143	545	3242
144	546	3224
145	548	3206
146	549	3189
147	551	3176
148	553	3161
149	554	3144
150	556	3128
151	558	3113
152	559	3097
153	560	3081
154	562	3065
155	563	3049
156	565	3035
157	567	3021
158	568	3008
159	570	2993
160	571	2977
161	572	2962
162	574	2947
163	575	2934
164	577	2919
165	578	2905
166	579	2891
167	581	2880
168	583	2867
169	584	2853
170	585	2840
171	587	2827
172	588	2814
173	590	2801
174	591	2789
175	593	2776
176	594	2764
177	596	2754
178	597	2742
179	599	2730
180	600	2719
181	602	2707
182	603	2695
183	605	2683
184	606	2671
185	607	2660
186	609	2649
187	611	2639
188	612	2629
189	614	2617
190	615	2607
191	616	2596
192	618	2585
193	619	2574
194	621	2564
195	622	2553
196	623	2543
197	625	2533
198	626	2523
199	628	2513
200	629	2504
201	631	2494
202	632	2484
203	634	2474
204	635	2464
205	636	2454
206	638	2444
207	639	2435
208	641	2428
209	643	2419
210	644	2410
211	646	2401
212	647	2392
213	648	2383
214	650	2374
215	651	2365
216	653	2356
217	654	2348
218	656	2339
219	657	2331
220	659	2323
